No,Student ID,Midterm,Final,Lab,Bonus
1,19125050,6,8,6,7
2,19125051,7,9,5,5
3,19125052,8,9,9,10
4,19125053,8,10,7,9
5,19125054,9,9,9,8
6,19125055,6,5,6,8
7,19125056,9,7,7,7
8,19125057,7,5,6,5
9,19125058,9,9,5,5
10,19125059,5,5,10,10
11,19125060,10,10,5,5
12,19125061,5,8,5,5
13,19125062,6,9,9,8
14,19125063,6,7,6,9
15,19125064,9,7,6,7
16,19125065,9,9,5,9
17,19125066,5,5,5,8
18,19125067,8,5,8,5
19,19125068,6,10,9,6
20,19125069,5,6,10,10
21,19125070,8,6,8,7
22,19125071,9,8,5,8
23,19125072,5,9,5,8
24,19125073,10,6,9,5
25,19125074,5,6,5,8
26,19125075,6,9,7,8
27,19125076,9,9,6,5
28,19125077,10,7,9,6
29,19125078,5,5,7,6
30,19125079,10,8,10,5
31,19125080,10,10,10,5
32,19125081,9,5,7,8
33,19125082,7,5,5,6
34,19125083,8,9,7,6
35,19125084,7,5,8,5
36,19125085,6,8,9,9
37,19125086,6,5,9,7
38,19125087,10,5,9,9
39,19125088,7,9,8,8
40,19125089,5,7,7,5
41,19125090,7,8,10,5
42,19125091,5,9,10,9
43,19125092,10,6,7,6
44,19125093,7,8,6,10
45,19125094,7,10,7,9
46,19125095,8,10,10,6
47,19125096,7,6,10,10
48,19125097,5,5,9,6
49,19125098,6,9,5,7
50,19125099,6,7,9,5
