No,Student ID,Midterm,Final,Lab,Bonus
1,19125050,9,9,7,5
2,19125051,6,7,5,7
3,19125052,5,7,5,10
4,19125053,5,8,7,6
5,19125054,6,8,10,7
6,19125055,9,9,7,8
7,19125056,5,6,5,6
8,19125057,7,9,6,8
9,19125058,6,5,10,8
10,19125059,5,8,7,10
11,19125060,8,7,10,6
12,19125061,8,7,7,10
13,19125062,9,8,5,8
14,19125063,7,9,9,7
15,19125064,6,8,5,7
16,19125065,8,5,5,10
17,19125066,6,5,10,10
18,19125067,9,9,8,6
19,19125068,5,7,10,8
20,19125069,7,5,6,5
21,19125070,6,9,5,6
22,19125071,7,6,9,6
23,19125072,8,9,8,6
24,19125073,10,7,10,8
25,19125074,5,8,6,7
26,19125075,6,10,6,6
27,19125076,8,10,7,10
28,19125077,8,9,10,8
29,19125078,10,10,10,6
30,19125079,6,5,7,5
31,19125080,8,5,10,8
32,19125081,9,7,5,5
33,19125082,10,8,10,7
34,19125083,8,8,10,10
35,19125084,9,10,8,5
36,19125085,5,7,9,9
37,19125086,10,10,6,6
38,19125087,8,8,7,6
39,19125088,7,5,5,6
40,19125089,5,7,10,7
41,19125090,6,9,6,9
42,19125091,6,10,10,5
43,19125092,8,7,5,9
44,19125093,9,9,6,8
45,19125094,9,5,6,8
46,19125095,7,8,8,10
47,19125096,7,10,8,5
48,19125097,8,9,10,7
49,19125098,9,7,10,7
50,19125099,9,9,5,7
