19125000,10,,,
19125002,5,,,
19125003,6,,,
19125004,10,,,
19125005,5,,,
19125006,9,,,
19125007,8,,,
19125008,5,,,
19125009,7,,,
19125010,9,,,
19125011,7,,,
19125012,9,,,
19125013,8,,,
19125014,7,,,
19125015,7,,,
19125016,6,,,
19125017,7,,,
19125018,7,,,
19125019,5,,,
19125020,10,,,
19125021,9,,,
19125022,5,,,
19125023,10,,,
19125024,8,,,
19125025,10,,,
19125026,9,,,
19125027,9,,,
19125028,8,,,
19125029,5,,,
19125030,7,,,
19125031,5,,,
19125032,10,,,
19125033,5,,,
19125034,10,,,
19125035,10,,,
19125036,7,,,
19125037,10,,,
19125038,7,,,
19125039,9,,,
19125040,7,,,
19125041,9,,,
19125042,9,,,
19125043,9,,,
19125044,9,,,
19125045,6,,,
19125046,7,,,
19125047,6,,,
19125048,8,,,
19125049,6,,,
19125050,7,,,
19125051,5,,,
19125052,10,,,
19125053,9,,,
19125054,8,,,
19125055,8,,,
19125056,7,,,
19125057,5,,,
19125058,5,,,
19125059,10,,,
19125060,5,,,
19125061,5,,,
19125062,8,,,
19125063,9,,,
19125064,7,,,
19125065,9,,,
19125066,8,,,
19125067,5,,,
19125068,6,,,
19125069,10,,,
19125070,7,,,
19125071,8,,,
19125072,8,,,
19125073,5,,,
19125074,8,,,
19125075,8,,,
19125076,5,,,
19125077,6,,,
19125078,6,,,
19125079,5,,,
19125080,5,,,
19125081,8,,,
19125082,6,,,
19125083,6,,,
19125084,5,,,
19125085,9,,,
19125086,7,,,
19125087,9,,,
19125088,8,,,
19125089,5,,,
19125090,5,,,
19125091,9,,,
19125092,6,,,
19125093,10,,,
19125094,9,,,
19125095,6,,,
19125096,10,,,
19125097,6,,,
19125098,7,,,
19125099,5,,,
